Nordco Inc
Stryker Endoscopy
Mity-Lite Inc.
Armstrong International Inc.
Amphenol Benelux B.V.
"Resco Products, Inc."
"Gehr Industries, Inc."
Lake Shore Systems Inc
Knape & Vogt Manufacturing Co.
New Process Steel
ADAC Automotive Inc.
Crenlo
Brentwood Industries
Apache Hose & Belting Company
"North American Stainless, Inc."
Icon Aircraft
"Sekisui Polymer Innovations, LLC"
"Btd Manufacturing, Inc. (refer to parent account Otter Tail Corporation)"
MC Assembly
Hfi LLC
Nikola Motor Company
Romeo Power
U-line Corporation
"Domaille Engineering, LLC"
Musashi Auto Parts Canada Inc
Nexteer Automotive Corp.
Imperial Supplies LLC
STEMCO LP
Clarkwestern Dietrich Building Systems LLC
Scholle IPN
Hager Companies
Mimeo
"Merrick Industries, Inc."
Wavetronix LLC
Modern Industries Inc
